Flight_ID,Flight_Date,Airline_ID,Aircraft_ID,Origin_Airport_ID,Destination_Airport_ID,Scheduled_Departure,Actual_Departure,Delay_Minutes,Delay_Reason,Status,Flight_Duration_Min,Distance_KM,Seat_Capacity,Passengers,Base_Fare_USD,Revenue_USD,Load_Factor_%,Season
FL00482,2024-12-04,AL007,AC005,AP015,AP010,2024-12-04 19:00:00,2024-12-04 19:01:00,1.0,Technical,Cancelled,562,5079,325,0,525.0,0,0.0,Winter
FL00483,2023-12-27,AL010,AC023,AP012,AP027,2023-12-27 14:00:00,2023-12-27 14:05:00,5.0,Late Aircraft,Delayed,464,2162,180,148,434.0,64232,82.22222222222221,Winter
FL00484,2025-11-06,AL005,AC022,AP012,AP027,2025-11-06 10:45:00,2025-11-06 10:59:00,14.0,Technical,Delayed,213,5300,300,227,232.0,52664,75.66666666666667,Autumn
FL00485,2023-11-28,AL010,AC018,AP004,AP014,2023-11-28 17:00:00,2023-11-28 17:09:00,9.0,Late Aircraft,Delayed,698,5619,189,117,353.0,41301,61.90476190476191,Autumn
FL00486,2024-05-05,AL003,AC036,AP009,AP002,2024-05-05 17:45:00,2024-05-05 17:45:00,0.0,No Delay,Cancelled,70,3779,180,0,141.0,0,0.0,Spring
FL00487,2024-04-14,AL003,AC005,AP011,AP027,2024-04-14 21:00:00,2024-04-14 21:00:00,0.0,No Delay,On Time,550,5014,325,245,284.0,69580,75.38461538461539,Spring
FL00488,2023-03-21,AL004,AC036,AP013,AP015,2023-03-21 10:30:00,2023-03-21 10:30:00,0.0,No Delay,On Time,343,7702,180,122,213.0,25986,67.77777777777779,Spring
FL00489,2025-11-22,AL001,AC031,AP010,AP025,2025-11-22 16:00:00,2025-11-22 16:13:00,13.0,Air Traffic,Delayed,336,8183,300,271,591.0,160161,90.33333333333331,Autumn
FL00490,2025-01-30,AL002,AC040,AP012,AP009,2025-01-30 21:45:00,2025-01-30 21:47:00,2.0,Late Aircraft,Delayed,297,7801,220,191,234.0,44694,86.81818181818181,Winter
FL00491,2025-10-21,AL005,AC016,AP016,AP030,2025-10-21 10:00:00,2025-10-21 10:03:00,3.0,Air Traffic,Delayed,222,3963,189,170,135.0,22950,89.94708994708994,Autumn
FL00492,2023-05-25,AL003,AC010,AP004,AP010,2023-05-25 12:15:00,2023-05-25 12:15:00,0.0,No Delay,On Time,662,8199,396,351,342.0,120042,88.63636363636364,Spring
FL00493,2024-03-02,AL008,AC038,AP015,AP008,2024-03-02 06:45:00,2024-03-02 06:50:00,5.0,Late Aircraft,Delayed,159,4041,189,133,349.0,46417,70.37037037037037,Spring
FL00494,2024-03-17,AL008,AC020,AP023,AP014,2024-03-17 05:45:00,2024-03-17 05:51:00,6.0,Crew,Delayed,477,6478,396,328,529.0,173512,82.82828282828282,Spring
FL00495,2023-12-05,AL003,AC002,AP013,AP017,2023-12-05 08:30:00,2023-12-05 09:15:00,45.0,Air Traffic,Delayed,507,7891,300,235,586.0,137710,78.33333333333333,Winter
FL00496,2024-08-18,AL006,AC022,AP010,AP015,2024-08-18 14:15:00,2024-08-18 15:30:00,75.0,Air Traffic,Cancelled,514,3619,300,0,516.0,0,0.0,Summer
FL00497,2024-12-24,AL010,AC029,AP020,AP007,2024-12-24 13:45:00,2024-12-24 13:58:00,13.0,Air Traffic,Delayed,579,3514,220,180,394.0,70920,81.81818181818183,Winter
FL00498,2025-09-01,AL007,AC004,AP022,AP006,2025-09-01 16:00:00,2025-09-01 16:13:00,13.0,Security,Delayed,480,2309,180,86,272.0,23392,47.77777777777778,Autumn
FL00499,2023-07-11,AL004,AC023,AP008,AP014,2023-07-11 19:45:00,2023-07-11 19:48:00,3.0,Late Aircraft,Delayed,362,5389,180,176,584.0,102784,97.77777777777776,Summer
FL00500,2024-11-28,AL008,AC025,AP021,AP015,2024-11-28 07:00:00,2024-11-28 07:06:00,6.0,Crew,Delayed,163,7320,296,212,520.0,110240,71.62162162162163,Autumn
FL00501,2024-10-25,AL006,AC009,AP007,AP021,2024-10-25 08:45:00,2024-10-25 10:09:00,84.0,Crew,Delayed,248,1357,296,158,263.0,41554,53.37837837837838,Autumn
FL00502,2023-04-11,AL006,AC027,AP018,AP029,2023-04-11 06:00:00,2023-04-11 06:07:00,7.0,Crew,Delayed,694,5660,325,252,102.0,25704,77.53846153846153,Spring
FL00503,2025-08-17,AL005,AC025,AP030,AP022,2025-08-17 22:30:00,2025-08-18 00:49:00,139.0,Late Aircraft,Severely Delayed,81,3434,296,222,78.0,17316,75.0,Summer
FL00504,2023-06-18,AL008,AC004,AP001,AP015,2023-06-18 14:15:00,2023-06-18 14:28:00,13.0,Crew,Delayed,241,4003,180,151,423.0,63873,83.88888888888889,Summer
FL00505,2025-06-11,AL005,AC029,AP012,AP011,2025-06-11 05:15:00,2025-06-11 05:22:00,7.0,Air Traffic,Delayed,442,4798,220,139,629.0,87431,63.18181818181819,Summer
FL00506,2025-05-12,AL007,AC005,AP024,AP008,2025-05-12 16:15:00,2025-05-12 16:19:00,4.0,Air Traffic,Delayed,283,5515,325,245,201.0,49245,75.38461538461539,Spring
FL00507,2025-02-21,AL007,AC033,AP002,AP015,2025-02-21 05:00:00,2025-02-21 07:42:00,162.0,Technical,Severely Delayed,454,7179,220,158,479.0,75682,71.81818181818181,Winter
FL00508,2025-04-12,AL010,AC021,AP014,AP002,2025-04-12 11:30:00,2025-04-12 11:36:00,6.0,Air Traffic,Delayed,186,2489,325,289,292.0,84388,88.92307692307693,Spring
FL00509,2024-07-02,AL005,AC006,AP023,AP009,2024-07-02 16:45:00,2024-07-02 16:47:00,2.0,Technical,Delayed,113,748,300,169,461.0,77909,56.333333333333336,Summer
FL00510,2024-06-25,AL003,AC010,AP013,AP026,2024-06-25 16:00:00,2024-06-25 16:08:00,8.0,Security,Delayed,268,1701,396,348,618.0,215064,87.87878787878788,Summer
FL00511,2024-12-30,AL010,AC007,AP020,AP004,2024-12-30 22:45:00,2024-12-30 22:51:00,6.0,Unknown,Delayed,224,5437,300,264,444.0,117216,88.0,Winter
FL00512,2023-01-11,AL008,AC037,AP013,AP009,2023-01-11 16:00:00,2023-01-11 16:21:00,21.0,Weather,Delayed,465,2218,220,182,571.0,103922,82.72727272727273,Winter
FL00513,2025-08-13,AL001,AC013,AP013,AP025,2025-08-13 06:00:00,2025-08-13 06:23:00,23.0,Technical,Delayed,414,4477,325,195,255.0,49725,60.0,Summer
FL00514,2023-05-04,AL008,AC031,AP020,AP002,2023-05-04 13:45:00,2023-05-04 13:47:00,2.0,Technical,Delayed,155,1563,300,260,490.0,127400,86.66666666666667,Spring
FL00515,2025-12-14,AL009,AC020,AP022,AP009,2025-12-14 09:15:00,2025-12-14 10:34:00,79.0,Technical,Delayed,674,4384,396,304,361.0,109744,76.76767676767676,Winter
FL00516,2024-03-18,AL007,AC009,AP016,AP005,2024-03-18 17:30:00,2024-03-18 17:32:00,2.0,Crew,Delayed,342,2459,296,218,296.0,64528,73.64864864864865,Spring
FL00517,2023-10-13,AL010,AC024,AP003,AP030,2023-10-13 06:15:00,2023-10-13 06:27:00,12.0,Weather,Delayed,515,5669,296,228,648.0,147744,77.02702702702703,Autumn
FL00518,2025-02-27,AL005,AC006,AP020,AP028,2025-02-27 06:45:00,2025-02-27 06:45:00,0.0,No Delay,On Time,88,4759,300,204,234.0,47736,68.0,Winter
FL00519,2025-04-29,AL002,AC029,AP001,AP010,2025-04-29 11:30:00,2025-04-29 11:40:00,10.0,Crew,Delayed,50,5984,220,120,448.0,53760,54.54545454545454,Spring
FL00520,2025-10-07,AL007,AC022,AP008,AP030,2025-10-07 17:15:00,2025-10-07 17:30:00,15.0,Security,Delayed,577,6597,300,249,534.0,132966,83.0,Autumn
FL00521,2025-03-13,AL001,AC019,AP003,AP004,2025-03-13 10:45:00,2025-03-13 10:48:00,3.0,Weather,Delayed,695,1817,296,235,92.0,21620,79.3918918918919,Spring
FL00522,2024-06-24,AL005,AC018,AP004,AP027,2024-06-24 21:15:00,2024-06-24 21:27:00,12.0,Technical,Delayed,205,4332,189,96,313.0,30048,50.79365079365079,Summer
FL00523,2024-07-21,AL003,AC019,AP024,AP005,2024-07-21 21:45:00,2024-07-21 21:54:00,9.0,Crew,Delayed,70,3380,296,232,121.0,28072,78.37837837837837,Summer
FL00524,2025-09-16,AL009,AC001,AP020,AP009,2025-09-16 11:00:00,2025-09-16 11:13:00,13.0,Late Aircraft,Delayed,287,2290,325,194,110.0,21340,59.692307692307686,Autumn
FL00525,2025-08-08,AL002,AC014,AP019,AP001,2025-08-08 11:15:00,2025-08-08 11:16:00,1.0,Unknown,Delayed,460,5888,325,205,632.0,129560,63.07692307692307,Summer
FL00526,2023-06-25,AL010,AC026,AP028,AP005,2023-06-25 08:15:00,2023-06-25 08:20:00,5.0,Air Traffic,Delayed,379,3014,189,88,624.0,54912,46.56084656084656,Summer
FL00527,2023-01-28,AL008,AC038,AP022,AP004,2023-01-28 17:45:00,2023-01-28 18:14:00,29.0,Late Aircraft,Delayed,188,3406,189,150,635.0,95250,79.36507936507937,Winter
FL00528,2025-04-19,AL001,AC024,AP001,AP022,2025-04-19 06:30:00,2025-04-19 06:31:00,1.0,Air Traffic,Delayed,170,7378,296,276,332.0,91632,93.24324324324324,Spring
FL00529,2024-09-12,AL010,AC040,AP002,AP004,2024-09-12 15:30:00,2024-09-12 16:03:00,33.0,Security,Delayed,267,8001,220,130,460.0,59800,59.09090909090909,Autumn
FL00530,2024-04-25,AL009,AC021,AP009,AP014,2024-04-25 21:30:00,2024-04-25 21:35:00,5.0,Security,Delayed,151,1479,325,190,472.0,89680,58.46153846153847,Spring
FL00531,2025-02-19,AL005,AC032,AP003,AP027,2025-02-19 17:30:00,2025-02-19 19:59:00,149.0,Late Aircraft,Severely Delayed,258,4231,396,238,287.0,68306,60.1010101010101,Winter
FL00532,2024-04-12,AL010,AC031,AP016,AP004,2024-04-12 14:45:00,2024-04-12 14:55:00,10.0,Air Traffic,Delayed,57,3113,300,232,450.0,104400,77.33333333333333,Spring
FL00533,2025-08-04,AL005,AC004,AP006,AP014,2025-08-04 13:00:00,2025-08-04 13:13:00,13.0,Air Traffic,Delayed,121,3491,180,132,413.0,54516,73.33333333333333,Summer
FL00534,2023-02-19,AL002,AC028,AP030,AP021,2023-02-19 21:15:00,2023-02-19 21:40:00,25.0,Technical,Delayed,446,1925,296,197,206.0,40582,66.55405405405406,Winter
FL00535,2025-09-06,AL009,AC006,AP026,AP023,2025-09-06 15:30:00,2025-09-06 15:32:00,2.0,Air Traffic,Delayed,239,1643,300,228,399.0,90972,76.0,Autumn
FL00536,2023-10-26,AL009,AC013,AP012,AP004,2023-10-26 19:30:00,2023-10-26 19:38:00,8.0,Crew,Delayed,422,2612,325,253,417.0,105501,77.84615384615384,Autumn
FL00537,2025-01-06,AL006,AC022,AP024,AP012,2025-01-06 10:45:00,2025-01-06 10:53:00,8.0,Weather,Cancelled,507,3563,300,0,499.0,0,0.0,Winter
FL00538,2023-01-24,AL009,AC028,AP022,AP030,2023-01-24 18:00:00,2023-01-24 18:17:00,17.0,Air Traffic,Delayed,376,6204,296,191,151.0,28841,64.52702702702703,Winter
FL00539,2025-09-14,AL009,AC027,AP020,AP021,2025-09-14 08:00:00,2025-09-14 09:29:00,89.0,Air Traffic,Delayed,278,7684,325,252,360.0,90720,77.53846153846153,Autumn
FL00540,2023-01-05,AL005,AC033,AP026,AP018,2023-01-05 12:15:00,2023-01-05 12:19:00,4.0,Security,Delayed,74,1719,220,127,95.0,12065,57.72727272727273,Winter
FL00541,2025-07-08,AL001,AC002,AP023,AP014,2025-07-08 06:00:00,2025-07-08 06:10:00,10.0,Crew,Delayed,202,3989,300,297,280.0,83160,99.0,Summer
FL00542,2023-06-03,AL006,AC008,AP012,AP008,2023-06-03 11:15:00,2023-06-03 11:30:00,15.0,Crew,Delayed,231,2289,300,228,644.0,146832,76.0,Summer
FL00543,2023-08-20,AL003,AC035,AP006,AP015,2023-08-20 13:00:00,2023-08-20 13:44:00,44.0,Technical,Delayed,398,4353,189,130,429.0,55770,68.78306878306879,Summer
FL00544,2025-02-27,AL006,AC013,AP024,AP016,2025-02-27 10:45:00,2025-02-27 10:49:00,4.0,Air Traffic,Delayed,107,2952,325,319,140.0,44660,98.15384615384616,Winter
FL00545,2023-12-12,AL007,AC040,AP002,AP019,2023-12-12 11:30:00,2023-12-12 11:38:00,8.0,Air Traffic,Delayed,328,7219,220,176,135.0,23760,80.0,Winter
FL00546,2024-07-05,AL009,AC033,AP009,AP029,2024-07-05 19:00:00,2024-07-05 19:09:00,9.0,Security,Delayed,107,6202,220,147,642.0,94374,66.81818181818183,Summer
FL00547,2025-03-21,AL002,AC024,AP030,AP021,2025-03-21 17:45:00,2025-03-21 17:51:00,6.0,Late Aircraft,Delayed,641,1682,296,282,290.0,81780,95.27027027027027,Spring
FL00548,2024-07-24,AL005,AC012,AP017,AP009,2024-07-24 14:30:00,2024-07-24 14:36:00,6.0,Security,Delayed,503,7846,189,147,112.0,16464,77.77777777777779,Summer
FL00549,2024-07-14,AL005,AC035,AP021,AP024,2024-07-14 07:00:00,2024-07-14 08:50:00,110.0,Late Aircraft,Delayed,321,6322,189,150,409.0,61350,79.36507936507937,Summer
FL00550,2023-06-24,AL004,AC021,AP006,AP020,2023-06-24 07:15:00,2023-06-24 07:21:00,6.0,Late Aircraft,Delayed,458,1367,325,237,321.0,76077,72.92307692307692,Summer
FL00551,2023-10-19,AL001,AC018,AP027,AP029,2023-10-19 14:00:00,2023-10-19 14:00:00,0.0,No Delay,On Time,581,1787,189,178,521.0,92738,94.17989417989418,Autumn
FL00552,2024-01-13,AL007,AC021,AP029,AP026,2024-01-13 08:30:00,2024-01-13 08:42:00,12.0,Security,Delayed,563,7834,325,260,441.0,114660,80.0,Winter
FL00553,2023-02-02,AL005,AC027,AP021,AP010,2023-02-02 13:00:00,2023-02-02 14:30:00,90.0,Security,Delayed,240,377,325,305,460.0,140300,93.84615384615384,Winter
FL00554,2024-09-11,AL004,AC033,AP005,AP013,2024-09-11 11:15:00,2024-09-11 11:16:00,1.0,Weather,Delayed,334,5374,220,141,330.0,46530,64.0909090909091,Autumn
FL00555,2023-12-09,AL010,AC033,AP021,AP015,2023-12-09 15:30:00,2023-12-09 15:55:00,25.0,Weather,Delayed,202,7902,220,110,454.0,49940,50.0,Winter
FL00556,2025-04-09,AL006,AC031,AP017,AP001,2025-04-09 12:15:00,2025-04-09 12:18:00,3.0,Late Aircraft,Delayed,54,2196,300,202,611.0,123422,67.33333333333333,Spring
FL00557,2024-04-05,AL009,AC040,AP002,AP017,2024-04-05 16:15:00,2024-04-05 16:17:00,2.0,Late Aircraft,Delayed,83,1193,220,173,349.0,60377,78.63636363636364,Spring
FL00558,2023-08-08,AL004,AC005,AP007,AP019,2023-08-08 20:30:00,2023-08-08 20:33:00,3.0,Late Aircraft,Delayed,122,4824,325,296,585.0,173160,91.07692307692308,Summer
FL00559,2025-02-25,AL001,AC009,AP004,AP007,2025-02-25 18:00:00,2025-02-25 18:26:00,26.0,Crew,Delayed,675,6316,296,230,293.0,67390,77.7027027027027,Winter
FL00560,2024-11-12,AL003,AC020,AP008,AP024,2024-11-12 22:00:00,2024-11-12 22:15:00,15.0,Technical,Delayed,82,4166,396,282,230.0,64860,71.21212121212122,Autumn
FL00561,2023-01-17,AL003,AC010,AP027,AP029,2023-01-17 12:15:00,2023-01-17 12:16:00,1.0,Technical,Delayed,259,2546,396,261,476.0,124236,65.9090909090909,Winter
FL00562,2025-01-01,AL009,AC012,AP016,AP029,2025-01-01 12:00:00,2025-01-01 13:03:00,63.0,Weather,Delayed,406,6798,189,143,629.0,89947,75.66137566137566,Winter
FL00563,2025-02-12,AL004,AC027,AP017,AP018,2025-02-12 06:15:00,2025-02-12 08:32:00,137.0,Crew,Cancelled,221,8150,325,0,421.0,0,0.0,Winter
FL00564,2025-02-25,AL008,AC036,AP014,AP015,2025-02-25 17:30:00,2025-02-25 18:55:00,85.0,Crew,Delayed,617,5139,180,128,412.0,52736,71.11111111111111,Winter
FL00565,2024-11-28,AL003,AC025,AP001,AP003,2024-11-28 19:00:00,2024-11-28 19:14:00,14.0,Crew,Delayed,203,1086,296,238,498.0,118524,80.4054054054054,Autumn
FL00566,2023-08-03,AL006,AC007,AP018,AP008,2023-08-03 19:00:00,2023-08-03 19:02:00,2.0,Crew,Delayed,528,2918,300,246,525.0,129150,82.0,Summer
FL00567,2025-03-23,AL004,AC039,AP015,AP024,2025-03-23 20:45:00,2025-03-23 20:52:00,7.0,Air Traffic,Delayed,394,4053,300,243,342.0,83106,81.0,Spring
FL00568,2023-02-11,AL003,AC032,AP019,AP020,2023-02-11 18:15:00,2023-02-11 18:15:00,0.0,No Delay,On Time,304,5275,396,311,361.0,112271,78.53535353535354,Winter
FL00569,2024-10-23,AL001,AC026,AP028,AP023,2024-10-23 05:45:00,2024-10-23 07:06:00,81.0,Air Traffic,Delayed,117,5786,189,137,225.0,30825,72.4867724867725,Autumn
FL00570,2023-02-22,AL010,AC023,AP015,AP017,2023-02-22 22:30:00,2023-02-22 22:34:00,4.0,Air Traffic,Delayed,610,5481,180,148,618.0,91464,82.22222222222221,Winter
FL00571,2023-11-30,AL006,AC019,AP002,AP022,2023-11-30 06:45:00,2023-11-30 07:06:00,21.0,Crew,Delayed,549,2742,296,242,294.0,71148,81.75675675675676,Autumn
FL00572,2025-07-09,AL002,AC007,AP009,AP015,2025-07-09 13:45:00,2025-07-09 13:59:00,14.0,Technical,Delayed,577,8146,300,221,573.0,126633,73.66666666666667,Summer
FL00573,2023-05-25,AL001,AC026,AP020,AP013,2023-05-25 08:15:00,2023-05-25 08:19:00,4.0,Air Traffic,Delayed,578,2999,189,103,304.0,31312,54.4973544973545,Spring
FL00574,2023-05-03,AL005,AC034,AP011,AP023,2023-05-03 16:30:00,2023-05-03 16:36:00,6.0,Weather,Delayed,434,8164,300,227,237.0,53799,75.66666666666667,Spring
FL00575,2025-05-27,AL009,AC003,AP025,AP027,2025-05-27 21:00:00,2025-05-27 21:13:00,13.0,Late Aircraft,Delayed,475,3246,396,385,451.0,173635,97.2222222222222,Spring
FL00576,2025-07-19,AL003,AC036,AP017,AP001,2025-07-19 21:00:00,2025-07-19 21:14:00,14.0,Air Traffic,Delayed,335,1211,180,152,636.0,96672,84.44444444444444,Summer
FL00577,2024-07-21,AL010,AC023,AP020,AP003,2024-07-21 10:00:00,2024-07-21 10:05:00,5.0,Weather,Delayed,513,5623,180,125,218.0,27250,69.44444444444444,Summer
FL00578,2024-12-06,AL005,AC015,AP007,AP030,2024-12-06 21:45:00,2024-12-06 21:58:00,13.0,Technical,Delayed,405,2885,396,282,570.0,160740,71.21212121212122,Winter
FL00579,2024-06-29,AL007,AC012,AP013,AP021,2024-06-29 15:00:00,2024-06-29 15:10:00,10.0,Air Traffic,Delayed,461,8049,189,115,340.0,39100,60.84656084656085,Summer
FL00580,2025-12-24,AL007,AC012,AP001,AP010,2025-12-24 12:30:00,2025-12-24 12:38:00,8.0,Weather,Delayed,610,6790,189,164,466.0,76424,86.77248677248677,Winter
FL00581,2024-09-14,AL008,AC025,AP021,AP026,2024-09-14 18:15:00,2024-09-14 18:21:00,6.0,Late Aircraft,Delayed,92,4988,296,289,371.0,107219,97.63513513513512,Autumn
FL00582,2024-03-18,AL003,AC024,AP024,AP017,2024-03-18 06:15:00,2024-03-18 08:51:00,156.0,Air Traffic,Severely Delayed,673,1050,296,218,274.0,59732,73.64864864864865,Spring
FL00583,2025-11-11,AL007,AC040,AP026,AP027,2025-11-11 09:45:00,2025-11-11 09:54:00,9.0,Late Aircraft,Delayed,449,2966,220,151,169.0,25519,68.63636363636364,Autumn
FL00584,2024-03-01,AL002,AC007,AP008,AP018,2024-03-01 14:15:00,2024-03-01 14:29:00,14.0,Crew,Delayed,375,799,300,248,365.0,90520,82.66666666666667,Spring
FL00585,2024-01-23,AL008,AC024,AP006,AP011,2024-01-23 17:00:00,2024-01-23 17:00:00,0.0,No Delay,On Time,505,8365,296,226,357.0,80682,76.35135135135135,Winter
FL00586,2023-04-10,AL004,AC007,AP019,AP010,2023-04-10 18:15:00,2023-04-10 19:19:00,64.0,Weather,Delayed,105,2353,300,218,220.0,47960,72.66666666666667,Spring
FL00587,2025-01-21,AL005,AC012,AP023,AP012,2025-01-21 19:45:00,2025-01-21 19:45:00,0.0,No Delay,On Time,83,6144,189,159,443.0,70437,84.12698412698413,Winter
FL00588,2025-12-17,AL007,AC034,AP030,AP027,2025-12-17 12:45:00,2025-12-17 12:56:00,11.0,Technical,Delayed,609,374,300,256,220.0,56320,85.33333333333334,Winter
FL00589,2023-03-04,AL003,AC002,AP014,AP029,2023-03-04 16:15:00,2023-03-04 16:16:00,1.0,Weather,Delayed,60,3345,300,178,385.0,68530,59.333333333333336,Spring
FL00590,2025-06-19,AL010,AC021,AP004,AP017,2025-06-19 14:00:00,2025-06-19 14:03:00,3.0,Technical,Delayed,68,886,325,185,247.0,45695,56.92307692307692,Summer
FL00591,2023-04-01,AL007,AC003,AP021,AP001,2023-04-01 19:45:00,2023-04-01 19:51:00,6.0,Late Aircraft,Delayed,582,2635,396,323,435.0,140505,81.56565656565657,Spring
FL00592,2024-03-12,AL004,AC034,AP007,AP005,2024-03-12 18:45:00,2024-03-12 18:51:00,6.0,Technical,Delayed,573,2067,300,251,358.0,89858,83.66666666666667,Spring
FL00593,2025-03-04,AL003,AC020,AP006,AP024,2025-03-04 05:30:00,2025-03-04 05:37:00,7.0,Air Traffic,Delayed,260,1874,396,317,316.0,100172,80.05050505050505,Spring
FL00594,2024-11-19,AL006,AC004,AP014,AP021,2024-11-19 22:45:00,2024-11-19 22:45:00,0.0,No Delay,On Time,85,1273,180,137,314.0,43018,76.11111111111111,Autumn
FL00595,2023-04-03,AL004,AC015,AP008,AP025,2023-04-03 17:00:00,2023-04-03 19:24:00,144.0,Late Aircraft,Severely Delayed,295,3539,396,245,523.0,128135,61.86868686868687,Spring
FL00596,2024-08-15,AL008,AC040,AP022,AP013,2024-08-15 13:30:00,2024-08-15 13:39:00,9.0,Air Traffic,Delayed,596,7975,220,205,608.0,124640,93.18181818181816,Summer
FL00597,2024-09-28,AL005,AC037,AP004,AP029,2024-09-28 06:00:00,2024-09-28 06:03:00,3.0,Weather,Delayed,441,3053,220,217,297.0,64449,98.63636363636364,Autumn
FL00598,2025-11-27,AL002,AC028,AP004,AP002,2025-11-27 16:15:00,2025-11-27 16:17:00,2.0,Technical,Delayed,139,313,296,293,503.0,147379,98.98648648648648,Autumn
FL00599,2025-07-21,AL007,AC039,AP005,AP026,2025-07-21 20:15:00,2025-07-21 20:23:00,8.0,Late Aircraft,Delayed,355,2393,300,227,477.0,108279,75.66666666666667,Summer
FL00600,2025-01-13,AL009,AC019,AP009,AP011,2025-01-13 20:30:00,2025-01-13 20:35:00,5.0,Weather,Delayed,684,5632,296,254,278.0,70612,85.8108108108108,Winter
FL00601,2025-01-24,AL007,AC029,AP021,AP008,2025-01-24 13:15:00,2025-01-24 13:16:00,1.0,Crew,Delayed,383,6225,220,162,159.0,25758,73.63636363636363,Winter
FL00602,2025-05-26,AL005,AC031,AP014,AP015,2025-05-26 17:15:00,2025-05-26 17:28:00,13.0,Crew,Cancelled,268,6271,300,0,194.0,0,0.0,Spring
FL00603,2024-05-22,AL001,AC040,AP003,AP007,2024-05-22 18:30:00,2024-05-22 18:39:00,9.0,Air Traffic,Delayed,295,4986,220,169,164.0,27716,76.81818181818181,Spring
FL00604,2024-05-25,AL003,AC026,AP019,AP013,2024-05-25 08:30:00,2024-05-25 10:01:00,91.0,Technical,Delayed,562,5474,189,153,578.0,88434,80.95238095238095,Spring
FL00605,2023-05-14,AL005,AC037,AP013,AP016,2023-05-14 18:45:00,2023-05-14 18:48:00,3.0,Crew,Delayed,666,6066,220,188,291.0,54708,85.45454545454545,Spring
FL00606,2023-06-14,AL001,AC024,AP025,AP029,2023-06-14 16:45:00,2023-06-14 16:59:00,14.0,Crew,Delayed,422,7673,296,230,87.0,20010,77.7027027027027,Summer
FL00607,2025-03-17,AL002,AC026,AP003,AP012,2025-03-17 17:45:00,2025-03-17 17:48:00,3.0,Weather,Delayed,383,7989,189,142,215.0,30530,75.13227513227513,Spring
FL00608,2024-10-05,AL006,AC033,AP026,AP011,2024-10-05 07:30:00,2024-10-05 08:24:00,54.0,Crew,Delayed,55,5117,220,114,253.0,28842,51.81818181818182,Autumn
FL00609,2024-06-18,AL005,AC038,AP029,AP022,2024-06-18 05:30:00,2024-06-18 06:19:00,49.0,Late Aircraft,Delayed,392,8021,189,156,134.0,20904,82.53968253968253,Summer
FL00610,2023-10-21,AL005,AC011,AP014,AP029,2023-10-21 16:00:00,2023-10-21 16:15:00,15.0,Air Traffic,Delayed,481,3302,300,197,404.0,79588,65.66666666666666,Autumn
FL00611,2024-10-21,AL004,AC016,AP006,AP015,2024-10-21 15:00:00,2024-10-21 17:09:00,129.0,Weather,Severely Delayed,155,797,189,111,323.0,35853,58.730158730158735,Autumn
FL00612,2023-06-25,AL002,AC008,AP002,AP028,2023-06-25 12:30:00,2023-06-25 12:44:00,14.0,Technical,Delayed,425,6152,300,163,535.0,87205,54.333333333333336,Summer
FL00613,2023-01-10,AL009,AC028,AP019,AP005,2023-01-10 11:00:00,2023-01-10 12:42:00,102.0,Security,Delayed,94,3895,296,230,435.0,100050,77.7027027027027,Winter
FL00614,2024-11-30,AL003,AC008,AP023,AP004,2024-11-30 15:30:00,2024-11-30 15:31:00,1.0,Security,Delayed,542,6472,300,236,73.0,17228,78.66666666666666,Autumn
FL00615,2023-03-22,AL005,AC040,AP026,AP002,2023-03-22 15:45:00,2023-03-22 15:45:00,0.0,No Delay,On Time,108,1061,220,123,591.0,72693,55.90909090909091,Spring
FL00616,2025-04-05,AL006,AC032,AP012,AP005,2025-04-05 07:45:00,2025-04-05 07:59:00,14.0,Weather,Delayed,348,4221,396,289,171.0,49419,72.97979797979798,Spring
FL00617,2024-02-04,AL010,AC005,AP007,AP008,2024-02-04 07:15:00,2024-02-04 07:25:00,10.0,Weather,Delayed,201,4133,325,245,565.0,138425,75.38461538461539,Winter
FL00618,2023-04-20,AL001,AC019,AP016,AP022,2023-04-20 09:45:00,2023-04-20 11:29:00,104.0,Air Traffic,Cancelled,637,7721,296,0,259.0,0,0.0,Spring
FL00619,2024-02-23,AL008,AC034,AP026,AP001,2024-02-23 07:45:00,2024-02-23 07:56:00,11.0,Weather,Delayed,243,6581,300,244,430.0,104920,81.33333333333333,Winter
FL00620,2023-12-29,AL001,AC036,AP019,AP014,2023-12-29 06:45:00,2023-12-29 06:52:00,7.0,Technical,Delayed,604,2915,180,171,445.0,76095,95.0,Winter
FL00621,2025-07-31,AL003,AC009,AP010,AP024,2025-07-31 16:45:00,2025-07-31 17:34:00,49.0,Crew,Delayed,295,5632,296,230,308.0,70840,77.7027027027027,Summer
FL00622,2023-07-15,AL007,AC019,AP005,AP016,2023-07-15 12:15:00,2023-07-15 12:22:00,7.0,Air Traffic,Delayed,626,7365,296,262,121.0,31702,88.51351351351352,Summer
FL00623,2025-10-27,AL003,AC034,AP017,AP002,2025-10-27 17:30:00,2025-10-27 17:39:00,9.0,Crew,Delayed,539,7395,300,159,301.0,47859,53.0,Autumn
FL00624,2024-05-09,AL010,AC035,AP012,AP001,2024-05-09 22:15:00,2024-05-09 22:24:00,9.0,Technical,Delayed,712,1938,189,96,449.0,43104,50.79365079365079,Spring
FL00625,2023-08-02,AL003,AC011,AP010,AP012,2023-08-02 17:45:00,2023-08-02 17:56:00,11.0,Security,Delayed,123,8396,300,276,133.0,36708,92.0,Summer
